Full Name,IATA Prefix Code,Remarks / Notes,ICAO Code,ICAO Callsign,Country,IATA Code,IATA Accounting Code
"Pacific Airways, Inc.",,,,,United States of America,3F,
DRB-HICOM Asiacargo Express Sdn. Bhd.,380,Name changed from Gading Sari Aviation Services Sdn Bhd d/b/a G Sari.,CXM,Asia Cargo,Malaysia,3G,
Air Inuit Ltd/Ltee.,,ICAO callsign changed from Air InuitName changed from Air Inuit (1985) Ltd.,AIE,Inuit,Canada,3H,466
Aerolineas Austral Chile S.A.,393,,,,Chile,3I,393
Jubba Airways Limited d/b/a Jubba Airways,535,IATA designator changed from 3O,JUB,Jubba,Somalia,3J,535
Cargo Three Inc. d/b/a Pan Air Cargo,333,IATA Designator changed from I3*. IATA Prefix code changed from 714.,CTW,Third Cargo,Panama,3J,
Jetstar Asia Airways Pte Ltd,375,,JSA,Jetstar Asia,Singapore,3K,
Silver Airways Corp.,449,Name changed from Silver Airways LLC.Formed from the bankrupt assets of Gulfstream International Airlines.,SIL,Silver Wings,United States of America,3M,449
Air Urga,746,,URG,Urga,Ukraine,3N,746
Air Arabia Maroc,452,ICAO callsign changed from Nawras,MAC,Arabia Maroc,Morocco,3O,452
Tiara Air N.V. dba Tiara Air Aruba,253,,TNM,Tiara,Aruba,3P,253
"KC International Airlines Co., Ltd. d/b/a KC International Airlines",,Due to commence in 2018,KCH,Cam Air,Cambodia,3Q,
CAIRE d/b/a Air Antilles Express,,Name changed from Air Guyane S.P. w.e.f. June 2009.,GUY,Green Bird,Guyana,3S,875
AeroLogic GmbH,278,"AeroLogic is jointly owned by Deutsche Lufthansa AG and Deutsche Post AG through their subsidiaries Lufthansa Cargo and DHL Express, each with 50 percent shares.",BOX,German Cargo,Germany,3S,
Tarco Aviation Co. Ltd.,,Established in 2009. Name changed from Tarco Air.,TRQ,Airtarco,Sudan,3T,524
Sichuan Airlines Co. Ltd.,,IATA designator changed from N8,CSC,Sichuan,China,3U,876
ASL Airlines Belgium,163,"Name changed from TNT Airways, S.A.IATA designator changed from 3V*",TAY,Quality,Belgium,3V,
Malawian Airlines,,founded in July 2013. Commenced operations on 31 January 2014,MWI,,Malawi,3W,529
"Premier Trans Aire, Inc.",435,IATA Designator changed from P3,,,United States of America,3X,
"Baseops International, Inc.",,,XBO,,United States of America,3Y,
Smartwings Polska Sp. z.o.o.,,Name changed from Travel Service Polska Sp. z.o.o. w.e.f. 10 December 2018.,TVP,Jet Travel,Poland,3Z,
"Aerodynamics, Inc. d/b/a Great Lakes Jet Express",,"Designator changed from 8N*. Name changed to Aerodynamics, Inc. d/b/a Great Lakes Jet Express.Name changed from Aero Dynamics, Inc. ICAO callsign from Aero Dynamic. IATA designator changed from Y7*.",DYN,Aerodynamics,United States of America,4A,
"Boutique Air, Inc.",,"Name changed from MC Aviation Corp d/b/a Boutique Air, Inc.",BTQ,Boutique,United States of America,4B,184
Aviastar-Tu Co. Ltd,210,,TUP,Tupolevair,Russian Federation,4B,
Aerovias de Integration Regional d/b/a LATAM Airlines Colombia,,Name changed from Aires S.A. Aerovias de Integracion Regional S.A.) d/b/a LAN Colombia w.e.f. 05 May 2016.,ARE,LAN Colombia,Colombia,4C,035
Egypt Air Holding Company d/b/a Air Sinai,903,,ASD,Air Sinai,Egypt,4D,903
Stabo Air Limited,242,,SBO,Stabair,Zambia,4E,
Freedom Airlines Express Ltd.,,ICAO callsign changed from Freedom Ero,FDT,Freedom Eagle,Kenya,4F,
Air City,,ICAO code ECE recalled. Name changed from Air-CityRailway Service,,,Germany,4F,
Gazpromavia Aviation Company Limited,,Founded in 1995,GZP,Gazprom,Russian Federation,4G,579
United Airways Bangladesh Ltd,,Founded in 2005. Commenced operations on 10 July 2007.,UBD,United Bangladesh,Bangladesh,4H,584
United Caribbean Airlines BV,,,UCB,Eagle Eye,Curacao,4J,
Kenn Borek Air Ltd.,,,KBA,Borek Air,Canada,4K,
Askari Aviation (Pvt) Ltd.,,Name changed from M/S Askari Aviation Serivces (Pvt) Ltd.,AAS,Al-ass,Pakistan,4K,
Palau National Airlines,,IATA designator changed from 9P.  ICAO Callsign changed from Sebus.,PNA,Tropic Bird,Palau,4L,
LAN Argentina S.A. d/b/a LATAM Airlines Argentina,469,"Name changed from Aero 2000, S.A. dba LAN ArgentinaName change from Aero 2000, S.A.",DSM,Aero Dosmil,Argentina,4M,469
Air North Charter and Training Ltd. t/a Air North,287,Name changed from Air North Charter.,ANT,Air North,Canada,4N,287
"ABC Aerolineas, S.A. de C.V.",837,Designator 4O* reinstated by IATA,AIJ,ABC Aerolineas,Mexico,4O,837
"Public Charters, Inc. d/b/a REGIONAL Sky",,IATA designator changed from P1.Name changed from Aviation Technologies Inc. d/b/a PublicCharters.com,,,United States of America,4P,
Safi Airways Ltd.,,,SFW,Safi Airways,Afghanistan,4Q,
Renfe Viajeros Sociedad Mercantil Estatal SA,,IATA Designator changed from 4R*.Railway Service,,,Spain,4R,
"Solar Cargo, C.A.",644,,OLC,Solarcargo,Venezuela,4S,
Transwest Air Limited,,Formed by the merger of Air Sask and Athabaska Airways,,,Canada,4T,
Germanwings GmbH,,Name changed from Eurowings Flug GmbH. ICAO designator changed from EWF. ICAO callsign changed from Shark,GWI,German Wings,Germany,4U,051
BV Airways d/b/a BVI Airways,,,,,Virgin Islands (British),4V,
"Warbelow's Air Ventures, Inc.",,ICAO designator changed from VNA. ICAO callsign changed from Ventaire,WAV,Warbelow,United States of America,4W,
Allied Air Limited,574,,AJK,Bambi,Nigeria,4W,
"Mercury Air Cargo, Inc. d/b/a Air Mercury",805,IATA designator changed from 4X,MEC,Mercair,United States of America,4X,
Airbus Transport International,,Airbus Industrie's Bulga's,BGA,Super Transport,France,4Y,
SA Airlink (Pty) Ltd. d/b/a South African Airlink,749,,LNK,Link,South Africa,4Z,749
"Alpine Aviation, Inc.",,,AIP,Alpine Air,United States of America,5A,437
Bassaka Air Limited,590,Founded in 2013. Commenced operations on 01/12/2014. IATA code changed from 5B*.,BSX,Bassaka,Cambodia,5B,590
Cavei Avir Lemitanim t/a Cargo Air Lines,700,,ICL,Cal,Israel,5C,
"Aerolitoral, S.A. de C.V., d/b/a Aeroméxico Connect",642,Name changed from Aerolitoral S.A. de C.V.Designator 5D reinstated by IATA,SLI,Costera,Mexico,5D,642
"East Coast Flight Services, Inc.",,,,,United States of America,5E,
Siam General Aviation Company Limited d/b/a Nok Mini Airlines,,,SGN,Siam,Thailand,5E,
FlyOne Airlines S.R.L.,,,FIA,Fia Airlines,"Moldova, Republic of",5F,
"Aero Cuahonte, S.A. de C.V.",,,,,Mexico,5G,113
Five Fourty Aviation Limited,,,FFV,Swift Tango,Kenya,5H,
ALSA Grupo S.L.U.,,,,,Spain,5I,
"Cebu Air, Inc. d/b/a Cebu Pacific Air",203,Name changed CEBU Pacific Air.ICAO designator changed from CPI,CEB,Cebu Air,Philippines,5J,203
"HiFly Transportes Aereos, S.A.",102,Name changed from Air Luxor,HFY,,Portugal,5K,102
TAC Transportes Aéreos Costarricenses Grupo TAG Guatemala t/a Tac Airlines,,,,,Guatemala,5L,
Montserrat Airways Ltd. t/a FlyMontserrat,,Name changed from Montserrat Airways Ltd.,MNT,Montserrat,Montserrat,5M,
Mediterranean Aviation Operations Company Ltd.,,,MDO,Kuda,Malta,5M,
Joint Stock Company Nordavia Region Airlines,316,To be rebranded as SmartAvia w.e.f. October 2017. Name changed from Aeroflot - Nord w.e.f. 01 December 2009.Name changed from Arkhangelsk Airlines. ICAO codes changed from OAO. IATA Designator changed from 5N,AUL,Dvina,Russian Federation,5N,316
ASL Airlines France S.A.,558,Name changed from Europe AirpostName change from Societe Financiereale (S.F.A.),FPO,French Post,France,5O,558
Global Aviation Services Group,301,Designator 5S recinstated by IATA,GAK,,Libyan Arab Jamahiriya,5S,
"Servicios Aereos Profesionales, S.A.",,IATA code changed from P2,PSV,Proservicios,Dominican Republic,5S,
Canadian North Inc.,518,"Founded in 1989. Name changed from Air Norterra Inc, d/b/a Canadian North. ICAO callsign changed from EmphisIATA designator changed from 3F*",MPE,Empress,Canada,5T,518
Transportes Aereos Guatemaltecos,911,,TGU,Chapin,Guatemala,5U,911
Tatonduk Outfitters Ltd. d/b/a Everts Air,840,Designator 3Z recalled by IATA. IATA Desigantor changed from 3K. Name changed from Tatonduk Outfitters Ltd. d/b/a Everts Air Alaska / Everts Air CargoName changed from Tatonduk Outfitters Ltd. d/b/a Air Cargo Express,VTS,Everts,United States of America,5V,840
WESTbahn Management GmbH,,Railway Service,,,Austria,5W,
United Parcel Service Company (UPS),406,,UPS,UPS,United States of America,5X,
"Atlas Air, Inc.",369,,GTI,Giant,United States of America,5Y,
Armenia Airways Air company CJSC,,,AMW,,Armenia,6A,
TUIfly Nordic AB,951,Name changed from Britannia Airways AB w.e.f. 01 May 2006.Designator 6B* Reinstated by IATA,BLX,Bluescan,Sweden,6B,951
Air Timor S.A.,586,Name changed from Austasia Airlines S.A.,,,Timor-Leste,6C,586
Centrafrrique Air Express (C.A.E.),,,,,Central African Republic,6C,
Smartwings Slovensko s.r.o.,,"Name changed from Travel Service Slovensko s.r.o. w.e.f. 10 December 2018.Name changed from Travel Service,a.s. organizacna zlozka Slovensko (Organizational unit Slovakia)",TVQ,Slovaktravel,Slovakia,6D,
Interglobe Aviation Ltd. d/b/a Indigo,312,,IGO,Ifly,India,6E,312
Go2Sky spol s.r.o.,,,RLX,Relaxair,Slovakia,6G,
Israir Airlines and Tourism Ltd.,,,ISR,Israir,Israel,6H,818
Alsie Express,,Operated by Air Alsie,MMD,Mermaid,Denmark,6I,
IBA International Business Airlines AB,,,IBZ,Interbiz,Sweden,6I,
Solaseed Air Inc.,,Name changed from Skynet Asia Airways. IATA designator changed from LQ*Designator 0E recalled by IATA,SNJ,Newsky,Japan,6J,
"Songbird Airways, Inc.",,"Name changed from Sky King, Inc in June 2015.",SGB,Songbird,United States of America,6K,
Aircompany Sun Light,,,SUH,Light Air,Kyrgyzstan,6L,
Maximus Airlines,387,,MXM,Maxlines,Ukraine,6M,
Zacarías Moreno SL (Frigocontainer),,Non-airline Unit Load Devices (ULD) companies,,,Spain,6M,
Niger Airlines S.A.,,,NIN,Niger Airlines,Niger,6N,720
"Orbest, S.A.",,"IATA desigantor changed from 4OSubsidary of Iberworld, Spain.",OBS,Orbest,Portugal,6O,
Cham Wings Airlines,386,Designator 6Q reinstated by IATAName changed from Sham Wings Airlines,SAW,Shamwings,Syrian Arab Republic,6Q,386
"AAR Airlift Group, Inc.",,,,,United States of America,6Q,
"Open Joint Stock Company ""ALROSA"" (Mirny Air Enterprise)",,Designator 6R reinstated by IATA,DRU,Mirny,Russian Federation,6R,
"Aerotransporte de Carga Union, S.A. de C.V.",873,Founded on 05 March 1998.,TNO,Aerounion,Mexico,6R,
SaudiGulf Airlines,,Commence domestic operations on 29 October 2016.Wholly owned by Abdul Hadi Al Qahtani Group of Companies.,SGQ,Saudi Gold,Saudi Arabia,6S,571
Star Air Aviation (Private) Limited,,,URJ,Starav,Pakistan,6S,609
Air Mandalay Limited,,,AMY,Air Mandalay,Myanmar,6T,373
Almaty Aviation OJSC Aircompany,,,LMT,,Kazakhstan,6T,
Auto Res S.L.U. d/b/a Avanza Group,,IATA designator changed from 6V*.Bus Service,,,Spain,6V,
Libo Air Cargo,920,,LBO,,Libyan Arab Jamahiriya,6W,
"Smartlynx Airlines, SIA",,ICAO Designator changed from LTC. ICAO callsign changed from Latcharter.Name changed from Latcharter,ART,Smart Lynx,Latvia,6Y,
JSC Aircompany Euro-Asia Air,,,EAK,Eakaz,Kazakhstan,6Z,
Express Air Cargo,336,Setup by Logistic Express and UPS. AOC granted on 04 October 2016.,XRC,,Tunisia,7A,
True Aviation Limited,557,,TUB,True Aviation,Bangladesh,7B,
Jeju Air Co. Ltd.,,,JJA,,"Korea, Republic of",7C,806
Coyne Airways Ltd.,575,,COY,Coyne Air,United Kingdom,7C,
Madagasikara Airways,,,AYS,,Madagascar,7D,
Sylt Air GmbH,,Name changed from Aeroline GmbHDesignator 7E reinstated by IATA,AWU,Sylt-Air,Germany,7E,
First Air,245,Name changed from Bradley Air Services Limited.,FAB,,Canada,7F,245
Star Flyer Inc,,Accounting code 922 recalled by IATA,SFJ,Starflyer,Japan,7G,
"Corvus Airlines, Inc. d/b/a Ravn Alaska",808,Name changed from Era Aviation. ICAO designator changed from ERR. ICAO Callsign changed from Erah.,RVF,Raven Flight,United States of America,7H,808
"OJSC ""Tajik Air""",,Name changed from State Air Company Tajikistan d/b/a Tajik Air,TJK,Tajikair,Tajikistan,7J,502
Kogalymavia Airlines JSC,,Name changed from Joint Stock Company Kogalymavia AirlinesFounded in 1993.,KGL,Kogalym,Russian Federation,7K,313
AmSafe Bridport,,Non-airline Unit Load Devices (ULD) companies.,,,United Kingdom,7K,
Silk Way West Airlines,501,Subsidary of Silk Way Airlines ZP*/AZQ,AZG,Silk West,Azerbaijan,7L,
Map Linhas Aereas,,,PAM,Map Air,Brazil,7M,
"MetroJets, LLC",007,,MTD,Matador,United States of America,7N,
Smartwings Hungary Kft.,,Name changed from Travel Service Legiforgalmi es Szolgaltato Kft. w.e.f. 10 December 2018.ICAO Callsign changed from Travel Service,TVL,Travelair,Hungary,7O,
Parsa S.A. d/b/a Air Panama,,,PST,Turismo Regional,Panama,7P,600
Elite Airways LLC,,,MNU,Mainer,United States of America,7Q,087
"Joint Stock Aviation Company ""RusLine""",,,RLU,Rusline Air,Russian Federation,7R,362
"Ryan Air, Inc.",,"Name changed from Ryan Services Air, Inc.Name chanegd from Arctic Transportation Services",RYA,Ryan Air,United States of America,7S,
Aero Express Del Ecuador Trans AM,144,DHL Ecuador,RTM,Aero Transam,Ecuador,7T,
Trenitalia S.p.A.,,Railway Service,,,Italy,7T,
Alpha Air Transport d/b/a Commercial Aviation Services,428,,,,United States of America,7U,
Federal Airlines (Pty) Ltd.,,Name changed from Federal Air (Pty) Ltd.,FDR,Fedair,South Africa,7V,739
Wind Rose Aviation Company Ltd t/a WINDROSE Airlines,,,WRC,Wind Rose,Ukraine,7W,
Mann Yadanarpon Airlines Co. Ltd.,,Founded in February 2014.,MYP,,Myanmar,7Y,
"Ameristar Jet Charter, Inc.",,,AJI,,United States of America,7Z,
Panama Airways,691,,,,Panama,8A,
PT. Transnusa Aviation Mandiri,,,TNU,Transnusa,Indonesia,8B,
Air Transport International LLC,,,ATN,Air Transport,United States of America,8C,813
Cotai Ferry Company Limited,,,,,Macau,8C,
FITS Aviation (Pvt) Ltd,319,Name changed from Expo Aviation (Pvt.) Limited,EXV,Expoavia,Sri Lanka,8D,
"Bering Air, Inc.",,Designator 8E re-instated by IATA,BRG,Bering Air,United States of America,8E,
Easy Fly Express Limited,766,,EFX,Easy Express,Bangladesh,8E,
STP Airways,,IATA designator changed from 5A,STP,Saotome Airways,Sao Tome And Principe,8F,470
PT Cardig Air,690,,CAD,Cardig Air,Indonesia,8F,
Mid Africa Aviation,357,,MFG,Mid Africa,The Gambia,8G,357
Instone Air Services Ltd. t/a Instone Air,,,,,United Kingdom,8G,
BH Air,366,Founded in 2001. Commenced operations in January 2002.,BGH,Balkan Holidays,Bulgaria,8H,366
InselAir Aruba N.V. d/b/a InselAir Aruba,778,,NLU,Insel Aruba,Aruba,8I,778
Linea Aerea Eco Jet S.A.,,,ECO,,Bolivia,8J,
K-Mile Air Co. Ltd.,,,KMI,,Thailand,8K,119
Exploits Valley Air Services Ltd,,,,,Canada,8K,
Lucky Air Co. Ltd,859,,LKE,Lucky Air,China,8L,859
Myanmar Airways International Company Ltd.,599,,MMA,Myanmar,Myanmar,8M,599
Regional Air Services,,,REG,Regional Services,"Tanzania, United Republic of",8N,
Pacific Coastal Airlines Limited,,,PCO,Pasco,Canada,8P,905
Onur Air Tasimacilik A/S,,,OHY,Onur Air,Turkey,8Q,
SOL S.A. Lineas Aereas,300,,OLS,Flight SOL,Argentina,8R,300
Shun Tak-China Travel Ship Management Ltd.,802,,,,China,8S,802
Air Tindi Ltd.,744,,TIN,Tindi,Canada,8T,744
Afriqiyah Airways,546,,AAW,Afriqiyah,Libyan Arab Jamahiriya,8U,546
"Wright Air Service, Inc.",,,WRF,Wright Flyer,United States of America,8V,
Astral Aviation Ltd.,485,,ACP,Astral Cargo,Kenya,8V,
Fly AllWays,,,EDR,Birdview,Suriname,8W,
Private Wings Flugcharter GmbH,,,PWF,Private Wings,Germany,8W,
Astro Air International Inc.,,,AAV,Astro-Phil,Philippines,8Y,
Congo Airways,,,,,"Congo, The Democratic Republic of",8Z,
Viazul,,Bus Service,,,Cuba,9A,
AccesRail and Partner Railways,,Name changed from Norwegian State Railways d/b/a AccesRail Inc.Railway Service,,,Canada,9B,450
"Haiti Caribbean Airlines S.A., Inc.",,IATA Designator changed from 9C,,,Haiti,9C,
"Genghis Khan Airlines Co., Ltd.",568,Formerly Tianjiao Airlines.,NMG,Tianjiao Air,China,9D,568
D.E.T.A. Air JSC,228,,DET,,Kazakhstan,9D,
"Endeavor Air, Inc.",430,"ICAO designator change from FLG. ICAO callsign changed from FlagshipName changed from Pinnacle Airlines, Inc. d/b/a Northwest Airlink w.e.f. 08 May 2002.",EDV,Endeavor,United States of America,9E,430
Eurostar (U.K.) Limited,,Railway Service,,,United Kingdom,9F,814
9G Rail Limited,,Name changed from Airport Express Rail Ltd.Railway Service,,,United Kingdom,9G,
Changan Airlines Limited Company t/a Air Changan,856,Designator 2Z recalled by IATA,CGN,Chang an,China,9H,856
Airline Allied Services Limited dba Alliance Air,,,,,India,9I,
Dana Airlines Ltd.,,ICAO code changedfrom DAV,DAN,Dana Air,Nigeria,9J,234
"Hyannis Air Service, Inc. d/b/a Cape Air",,Name changed from Cape Air,KAP,Cair,United States of America,9K,306
Transport Africa (Zimbabwe) Ltd.,335,,TFZ,Transzim,Zimbabwe,9K,
AirTanker Ltd,,ICAO designator changed from FST,TOW,Towline,United Kingdom,9L,
Central Mountain Air Ltd.,634,Formerly Central Mountain Air Services Ltd.,GLR,Glacier,Canada,9M,634
Massy Airlines,,,MIH,Massyline,Niger,9M,
"The Cargo Flights Co., Ltd.",,,,,China,9O,
Caicos Express Airways,,,CXE,Caicos,Turks And Caicos Islands,9Q,
Phuket Airlines Co. Ltd.,346,,VAP,Phuket Air,Thailand,9R,346
SATENA Servicio Aereo a Territorios Nacionales,,,NSE,Satena,Colombia,9R,
Spring Airlines Limited Corporation,089,Designator 9S reinstated by IATA,CQH,Air Spring,China,9S,089
"Southern Air, Inc.",099,,SOO,Southern Air,United States of America,9S,
Travelspan GT Inc,,,,,Guyana,9T,
ACT Havayollari A.S. (ACT Airlines) t/a myCARGO Airlines,556,Designator 9T* reinstated by IATA,RUN,Cargo Turk,Turkey,9T,
Air Moldova,572,Designator 9U reinstated by IATA,MLD,Air Moldova,"Moldova, Republic of",9U,572
"Aviones de Oriente, C.A. (AVIOR)",742,Designator 3B recalled by IATA,ROI,Avior,Venezuela,9V,742
Jet Airways (India) Limited,589,Name changed from Jet Airways (India) Private Limited,JAI,Jet Airways,India,9W,589
Executive Express Aviation LLC d/b/a Southern Airways,,,,,United States of America,9X,
National Airways plc,,,NAE,National,Ethiopia,9Y,993
Avian Líneas Aéreas S.A. t/a Avianca Argentina,177,ICAO designator changed from MCJ. ICAO callsign changed from Jetmac.Name changed from Macair Jet S.A. w.e.f. December 2016.,ANC,Avian,Argentina,A0,177
A.P.G. Distribution System,,Computer Reservation System,,,France,A1,
Astra Airlines,,,AZI,Greek Star,Greece,A2,273
"Aegean Airlines, S.A.",390,Name changed from Aegean Aviation S.AMerger with Cronus Airlines X5/CUS,AEE,Aegean,Greece,A3,390
JSC Azimuth Airlines,,ICAO designator changed from MUT.,AZO,Igavia,Russian Federation,A4,222
Hop!-Airlinair,,Name changed from Airlinair w.e.f. 31 March 2013.ICAO designator changed from ARF,RLA,Airlinair,France,A5,163
HOP!,,Name changed from AirlinairICAO designator changed from ARF,HOP,Airlinair,France,A5,163
"Yunnan Hong Tu Airlines Co., Ltd.",389,,HTU,Hong Land,China,A6,389
"Aero Calafia, S.A. de C.V. t/a Calafia Airlines",,,CFV,Calafia,Mexico,A7,
"Ameriflight, Inc.",,,AMF,Amflight,United States of America,A8,
Aerolink Uganda Limited,,Designator A8* reinstated by IATA,XAU,,Uganda,A8,
Georgian Airways,606,Name changed from Airzena Georgian AirlinesDesignator A9 reinstated by IATA,TGZ,Tamazi,Georgia,A9,606
American Airlines,001,,AAL,American,United States of America,AA,001
Air Canada,014,,ACA,Air Canada,Canada,AC,014
Azul Linhas Aereas Brasileiras,577,,AZU,Azul,Brazil,AD,577
Mandarin Airlines Ltd.,803,,MDA,Mandarin,Taiwan,AE,803
Air France,057,,AFR,Airfrans,France,AF,057
Arubaanse Luchtvaart Maatschappij N.V dba Aruba Airlines,,,ARU,Aruba,Aruba,AG,
Air Ghana Limited,458,,GHN,Air Ghana,Ghana,AG,
Air Algerie,124,,DAH,Air Algerie,Algeria,AH,124
Air India Limited,098,,AIC,Air India,India,AI,098
"Aztec Worldwide Airlines, Inc.",179,"ICAO designator changed from WWAName changed from Piper Aztec Inc, d/b/a Aztec Airways. Designator changed from 7A*",AZY,Aztec World,United States of America,AJ,
